FirstName,LastName,MiddleName,Title,EmailAddress,Phone,DepartmentName,AvatarUrl
Elijah,Gunn,,Sales Store Manager,ElijahGunn@contoso.com,582-555-0148,Production,
Julian,Nielson,,Sales Store Manager,JulianNielson@contoso.com,961-555-0122,Production,
Matthew,Murray,,Sales Store Manager,MatthewMurray@contoso.com,254-555-0114,Production,
Hayden,Wood,,Sales Store Manager,HaydenWood@contoso.com,521-555-0113,Production,
Melanie,Baldwin,,Sales Store Manager,MelanieBaldwin@contoso.com,306-555-0186,Production,
Chadwick,Brown,,Sales Store Manager,ChadwickBrown@contoso.com,539-555-0149,Facilities and Maintenance,
Freya,Quinnell,,Sales Store Manager,FreyaQuinnell@contoso.com,228-555-0159,Facilities and Maintenance,
Matt,Powell,,Sales Store Manager,MattPowell@contoso.com,151-555-0113,Purchasing,
Bart,Wright,,Sales Store Manager,BartWright@contoso.com,295-555-0161,Production,
Aiden,Rowe,,Sales Store Manager,AidenRowe@contoso.com,719-555-0181,Tool Design,
Eden,Henderson,,Sales Store Manager,EdenHenderson@contoso.com,125-555-0196,Purchasing,
Leanne,Walker,,Sales Store Manager,LeanneWalker@contoso.com,473-555-0117,Tool Design,
Liam,Eagle,,Sales Store Manager,LiamEagle@contoso.com,370-555-0163,Purchasing,
Alan,Mcleod,,Sales Store Manager,AlanMcleod@contoso.com,465-555-0156,Engineering,
Jacob,York,,Sales Store Manager,JacobYork@contoso.com,238-555-0197,Sales,
Shelby,Locke,,Sales Store Manager,ShelbyLocke@contoso.com,708-555-0141,Marketing,
Evie,Flack,,Sales Store Manager,EvieFlack@contoso.com,970-555-0138,Engineering,
Tony,Hill,,Sales Store Manager,TonyHill@contoso.com,486-555-0150,Marketing,
Ally,Ingram,Kay,Sales Store Manager,AllyIngram@contoso.com,124-555-0114,Marketing,
Aiden,Reid,,Sales Store Manager,AidenReid@contoso.com,716-555-0127,Sales,
Dasha,Harper,,Sales Store Manager,DashaHarper@contoso.com,210-555-0193,Purchasing,
Candice,Ross,,Sales Store Manager,CandiceRoss@contoso.com,210-555-0193,Purchasing,
Paige,Burge,,Sales Store Manager,PaigeBurge@contoso.com,210-555-0193,Purchasing,
Barney,Tailor,,Sales Store Manager,BarneyTailor@contoso.com,257-555-0154,Sales,
Rowan,Wright,,Sales Store Manager,RowanWright@contoso.com,883-555-0116,Sales,
Lauren,Owen,,Sales Store Manager,LaurenOwen@contoso.com,517-555-0117,Sales,
Benny,Fulton,,Sales Store Manager,BennyFulton@contoso.com,922-555-0165,Sales,
Ron,Smith,,Sales Store Manager,RonSmith@contoso.com,664-555-0112,Sales,
Evie,Chapman,,Sales Store Manager,EvieChapman@contoso.com,340-555-0193,Sales,
Sebastian,Forth,,Sales Store Manager,SebastianForth@contoso.com,330-555-0120,Sales,
Marvin,Hobbs,,Sales Store Manager,MarvinHobbs@contoso.com,185-555-0169,Sales,
Michael,Potts,,Sales Store Manager,MichaelPotts@contoso.com,740-555-0182,Sales,
Jane,Foxley,,Sales Store Manager,JaneFoxley@contoso.com,775-555-0164,Sales,
Claire,Chappell,,Sales Store Manager,ClaireChappell@contoso.com,1 (11) 500 555-0145,Sales,
Logan,Bailey,,Sales Store Manager,LoganBailey@contoso.com,1 (11) 500 555-0117,Sales,
Luke,May,,Sales Store Manager,LukeMay@contoso.com,615-555-0153,Sales,
Nate,Brown,,Sales Store Manager,NateBrown@contoso.com,926-555-0182,Sales,
Makenzie,Allen,,Sales Store Manager,MakenzieAllen@contoso.com,1 (11) 500 555-0140,Sales,
Leah,Chapman,,Sales Store Manager,LeahChapman@contoso.com,1 (11) 500 555-0190,Sales,
